sourcenotation;sourcepreflabel;targetnotation;targetpreflabel
GF 6437;Sonstige Spiele (Legendenspiel, Weltgerichtsspiel u.a.) (Texte);17.98;Textsammlungen
GF 6438;Sekundärliteratur;18.10;Deutsche Literatur
GF 6441;Fastnachtsspiele u.a. (Texte);18.10;Deutsche Literatur
GF 6441;Fastnachtsspiele u.a. (Texte);17.97;Texte eines einzelnen Autors
GF 6441;Fastnachtsspiele u.a. (Texte);17.98;Textsammlungen
GF 6450;Sekundärliteratur;18.10;Deutsche Literatur
GF 6471;Texte;18.10;Deutsche Literatur
GF 6471;Texte;17.97;Texte eines einzelnen Autors
GF 6471;Texte;17.98;Textsammlungen
GF 6480;Sekundärliteratur;18.10;Deutsche Literatur
GF 6504;Allgemeines;18.10;Deutsche Literatur
GF 6504;Allgemeines;17.81;Epik, Prosa
GF 6505;Allgemeine Textsammlungen;18.10;Deutsche Literatur
GF 6505;Allgemeine Textsammlungen;17.81;Epik, Prosa
GF 6505;Allgemeine Textsammlungen;17.98;Textsammlungen
GF 6507;Ritter- und Heldenepik (Texte);18.10;Deutsche Literatur
GF 6507;Ritter- und Heldenepik (Texte);17.97;Texte eines einzelnen Autors
GF 6507;Ritter- und Heldenepik (Texte);17.98;Textsammlungen
GF 6508;Sekundärliteratur;18.10;Deutsche Literatur
GF 6509;Chroniken;18.10;Deutsche Literatur
GF 6509;Chroniken;17.97;Texte eines einzelnen Autors
GF 6509;Chroniken;17.98;Textsammlungen
GF 6510;Sekundärliteratur;18.10;Deutsche Literatur
GF 6511;Didaktische Dichtung (Texte);18.10;Deutsche Literatur
GF 6511;Didaktische Dichtung (Texte);17.97;Texte eines einzelnen Autors
GF 6511;Didaktische Dichtung (Texte);17.98;Textsammlungen
GF 6512;Sekundärliteratur;18.10;Deutsche Literatur
GF 6513;Schwank- und Novellendichtung (Texte);18.10;Deutsche Literatur
GF 6513;Schwank- und Novellendichtung (Texte);17.97;Texte eines einzelnen Autors
GF 6513;Schwank- und Novellendichtung (Texte);17.98;Textsammlungen
GF 6514;Sekundärliteratur;18.10;Deutsche Literatur
GF 6516;Volksbücher (Texte);18.10;Deutsche Literatur
GF 6516;Volksbücher (Texte);17.97;Texte eines einzelnen Autors
GF 6516;Volksbücher (Texte);17.98;Textsammlungen
GF 6517;Sekundärliteratur;18.10;Deutsche Literatur
GF 6519;Legenden. Geistliche Epik (Texte);18.10;Deutsche Literatur
GF 6519;Legenden. Geistliche Epik (Texte);17.97;Texte eines einzelnen Autors
GF 6519;Legenden. Geistliche Epik (Texte);17.98;Textsammlungen
GF 6520;Sekundärliteratur;18.10;Deutsche Literatur
GF 6532;Prosaerzählung, Prosaroman (Texte);18.10;Deutsche Literatur
GF 6532;Prosaerzählung, Prosaroman (Texte);17.97;Texte eines einzelnen Autors
GF 6532;Prosaerzählung, Prosaroman (Texte);17.98;Textsammlungen
GF 6533;Sekundärliteratur;18.10;Deutsche Literatur
GF 6551;Sonstiges ;18.10;Deutsche Literatur
GF 6551;Sonstiges ;17.81;Epik, Prosa
GF 6551;Sonstiges ;17.98;Textsammlungen
GF 6552;Sekundärliteratur;18.10;Deutsche Literatur
GF 6701;Allgemeines;18.10;Deutsche Literatur
GF 6701;Allgemeines;17.84;Sonstige literarische Gattungen
GF 6705;Allgemeine Textsammlungen;18.10;Deutsche Literatur
GF 6705;Allgemeine Textsammlungen;17.84;Sonstige literarische Gattungen
GF 6705;Allgemeine Textsammlungen;17.98;Textsammlungen
GF 6712;Geistliche Prosa: Mystische Texte, Predigt, Traktat (Texte);18.10;Deutsche Literatur
GF 6712;Geistliche Prosa: Mystische Texte, Predigt, Traktat (Texte);17.97;Texte eines einzelnen Autors
GF 6712;Geistliche Prosa: Mystische Texte, Predigt, Traktat (Texte);17.98;Textsammlungen
GF 6713;Sekundärliteratur;18.10;Deutsche Literatur
GF 6715;Deutsche Bibelübersetzung vor Luther (Texte);18.10;Deutsche Literatur
GF 6715;Deutsche Bibelübersetzung vor Luther (Texte);17.97;Texte eines einzelnen Autors
GF 6715;Deutsche Bibelübersetzung vor Luther (Texte);17.98;Textsammlungen
GF 6717;Sekundärliteratur;18.10;Deutsche Literatur
GF 6721;Sonstige Schriften: Reisebeschreibungen, Fachschriften. Übersetzungen (Texte);18.10;Deutsche Literatur
GF 6721;Sonstige Schriften: Reisebeschreibungen, Fachschriften. Übersetzungen (Texte);17.97;Texte eines einzelnen Autors
GF 6721;Sonstige Schriften: Reisebeschreibungen, Fachschriften. Übersetzungen (Texte);17.98;Textsammlungen
GF 6730;Sekundärliteratur;18.10;Deutsche Literatur
GF 6740;Textsammlungen (Alle Gattungen umfassend);18.10;Deutsche Literatur
GF 6740;Textsammlungen (Alle Gattungen umfassend);17.98;Textsammlungen
GF 6760;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6760;Einzelausgaben;18.10;Deutsche Literatur
GF 6760;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6760;Übersetzungen;18.10;Deutsche Literatur
GF 6760;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6760;Sekundärliteratur;18.10;Deutsche Literatur
GF 6765;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6766;Einzelausgaben;18.10;Deutsche Literatur
GF 6766;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6767;Übersetzungen;18.10;Deutsche Literatur
GF 6767;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6767;Sekundärliteratur;18.10;Deutsche Literatur
GF 6772;Gesamtausgaben;18.10;Deutsche Literatur
GF 6773;Einzelausgaben;18.10;Deutsche Literatur
GF 6773;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6774;Übersetzungen;18.10;Deutsche Literatur
GF 6774;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6775;Sekundärliteratur;18.10;Deutsche Literatur
GF 6787;Gesamtausgaben;18.10;Deutsche Literatur
GF 6787;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6788;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6789;Übersetzungen;18.10;Deutsche Literatur
GF 6789;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6790;Sekundärliteratur;18.10;Deutsche Literatur
GF 6795;Gesamtausgaben;18.10;Deutsche Literatur
GF 6795;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6796;Einzelausgaben;18.10;Deutsche Literatur
GF 6797;Übersetzungen;18.10;Deutsche Literatur
GF 6797;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6798;Sekundärliteratur;18.10;Deutsche Literatur
GF 6822;Gesamtausgaben;18.10;Deutsche Literatur
GF 6822;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6823;Einzelausgaben;18.10;Deutsche Literatur
GF 6823;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6824;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6825;Sekundärliteratur;18.10;Deutsche Literatur
GF 6846;Gesamtausgaben;18.10;Deutsche Literatur
GF 6846;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6847;Einzelausgaben;18.10;Deutsche Literatur
GF 6847;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6848;Übersetzungen;18.10;Deutsche Literatur
GF 6849;Sekundärliteratur;18.10;Deutsche Literatur
GF 6897;Gesamtausgaben;18.10;Deutsche Literatur
GF 6897;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6898;Einzelausgaben;18.10;Deutsche Literatur
GF 6898;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6899;Übersetzungen;18.10;Deutsche Literatur
GF 6899;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6906;Gesamtausgaben;18.10;Deutsche Literatur
GF 6906;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6907;Einzelausgaben;18.10;Deutsche Literatur
GF 6907;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6908;Übersetzungen;18.10;Deutsche Literatur
GF 6908;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6909;Sekundärliteratur;18.10;Deutsche Literatur
GF 6919;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6920;Einzelausgaben;18.10;Deutsche Literatur
GF 6920;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6921;Übersetzungen;18.10;Deutsche Literatur
GF 6921;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6922;Sekundärliteratur;18.10;Deutsche Literatur
GF 6929;Gesamtausgaben;18.10;Deutsche Literatur
GF 6930;Einzelausgaben;18.10;Deutsche Literatur
GF 6930;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6931;Übersetzungen;18.10;Deutsche Literatur
GF 6931;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6932;Sekundärliteratur;18.10;Deutsche Literatur
GF 6945;Gesamtausgaben;18.10;Deutsche Literatur
GF 6945;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6946;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6947;Übersetzungen;18.10;Deutsche Literatur
GF 6947;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6948;Sekundärliteratur;18.10;Deutsche Literatur
GF 6950;Gesamtausgaben;18.10;Deutsche Literatur
GF 6950;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6951;Einzelausgaben;18.10;Deutsche Literatur
GF 6952;Übersetzungen;18.10;Deutsche Literatur
GF 6952;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6953;Sekundärliteratur;18.10;Deutsche Literatur
GF 6958;Gesamtausgaben;18.10;Deutsche Literatur
GF 6958;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6959;Einzelausgaben;18.10;Deutsche Literatur
GF 6959;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6960;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6961;Sekundärliteratur;18.10;Deutsche Literatur
GF 6966;Gesamtausgaben;18.10;Deutsche Literatur
GF 6966;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6967;Einzelausgaben;18.10;Deutsche Literatur
GF 6967;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6968;Übersetzungen;18.10;Deutsche Literatur
GF 6969;Sekundärliteratur;18.10;Deutsche Literatur
GF 6970;Gesamtausgaben;18.10;Deutsche Literatur
GF 6970;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6971;Einzelausgaben;18.10;Deutsche Literatur
GF 6971;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6972;Übersetzungen;18.10;Deutsche Literatur
GF 6972;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6973;Sekundärliteratur;18.10;Deutsche Literatur
GF 6980;Gesamtausgaben;18.10;Deutsche Literatur
GF 6980;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6981;Einzelausgaben;18.10;Deutsche Literatur
GF 6981;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 6982;Übersetzungen;18.10;Deutsche Literatur
GF 6982;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 6983;Sekundärliteratur;18.10;Deutsche Literatur
GF 6987;Primärliteratur;18.10;Deutsche Literatur
GF 6987;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 6988;Sekundärliteratur;18.10;Deutsche Literatur
GF 6989;Primärliteratur;18.10;Deutsche Literatur
GF 6989;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 6990;Sekundärliteratur;18.10;Deutsche Literatur
GF 6991;Primärliteratur;18.10;Deutsche Literatur
GF 6991;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 6992;Sekundärliteratur;18.10;Deutsche Literatur
GF 6998;Gesamtausgaben;18.10;Deutsche Literatur
GF 6998;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 6999;Einzelausgaben;18.10;Deutsche Literatur
GF 6999;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7000;Übersetzungen;18.10;Deutsche Literatur
GF 7000;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7020;Primärliteratur;18.10;Deutsche Literatur
GF 7020;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7021;Sekundärliteratur;18.10;Deutsche Literatur
GF 7046;Gesamtausgaben;18.10;Deutsche Literatur
GF 7046;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7047;Einzelausgaben;18.10;Deutsche Literatur
GF 7047;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7048;Übersetzungen;18.10;Deutsche Literatur
GF 7048;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7049;Sekundärliteratur;18.10;Deutsche Literatur
GF 7050;Gesamtausgaben;18.10;Deutsche Literatur
GF 7050;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7051;Einzelausgaben;18.10;Deutsche Literatur
GF 7051;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7052;Übersetzungen;18.10;Deutsche Literatur
GF 7052;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7053;Sekundärliteratur;18.10;Deutsche Literatur
GF 7112;Gesamtausgaben;18.10;Deutsche Literatur
GF 7112;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7113;Einzelausgaben;18.10;Deutsche Literatur
GF 7113;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7114;Übersetzungen;18.10;Deutsche Literatur
GF 7114;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7115;Sekundärliteratur;18.10;Deutsche Literatur
GF 7148;Gesamtausgaben;18.10;Deutsche Literatur
GF 7148;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7149;Einzelausgaben;18.10;Deutsche Literatur
GF 7149;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7150;Übersetzungen;18.10;Deutsche Literatur
GF 7150;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7151;Sekundärliteratur;18.10;Deutsche Literatur
GF 7160;Gesamtausgaben;18.10;Deutsche Literatur
GF 7160;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7161;Einzelausgaben;18.10;Deutsche Literatur
GF 7161;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7162;Übersetzungen;18.10;Deutsche Literatur
GF 7162;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7163;Sekundärliteratur;18.10;Deutsche Literatur
GF 7175;Gesamtausgaben;18.10;Deutsche Literatur
GF 7175;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7176;Einzelausgaben;18.10;Deutsche Literatur
GF 7176;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7177;Übersetzungen;18.10;Deutsche Literatur
GF 7177;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7178;Sekundärliteratur;18.10;Deutsche Literatur
GF 7181;Gesamtausgaben;18.10;Deutsche Literatur
GF 7181;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7182;Einzelausgaben;18.10;Deutsche Literatur
GF 7182;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7183;Übersetzungen;18.10;Deutsche Literatur
GF 7183;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7184;Sekundärliteratur;18.10;Deutsche Literatur
GF 7199 ;Gesamtausgaben;18.10;Deutsche Literatur
GF 7199 ;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7200;Einzelausgaben;18.10;Deutsche Literatur
GF 7200;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7201;Übersetzungen;18.10;Deutsche Literatur
GF 7201;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7202;Sekundärliteratur;18.10;Deutsche Literatur
GF 7215;Primärliteratur;18.10;Deutsche Literatur
GF 7215;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7216;Sekundärliteratur;18.10;Deutsche Literatur
GF 7246;Gesamtausgaben;18.10;Deutsche Literatur
GF 7246;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7247;Einzelausgaben;18.10;Deutsche Literatur
GF 7247;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7248;Übersetzungen;18.10;Deutsche Literatur
GF 7248;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7249;Sekundärliteratur;18.10;Deutsche Literatur
GF 7260;Gesamtausgaben;18.10;Deutsche Literatur
GF 7260;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7261;Einzelausgaben;18.10;Deutsche Literatur
GF 7261;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7262;Übersetzungen;18.10;Deutsche Literatur
GF 7262;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7263;Sekundärliteratur;18.10;Deutsche Literatur
GF 7268;Primärliteratur;18.10;Deutsche Literatur
GF 7268;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7269;Sekundärliteratur;18.10;Deutsche Literatur
GF 7286;Primärliteratur;18.10;Deutsche Literatur
GF 7286;Primärliteratur;17.97;Texte eines einzelnen Autors
GF 7287;Sekundärliteratur;18.10;Deutsche Literatur
GF 7290;Gesamtausgaben;18.10;Deutsche Literatur
GF 7290;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7291;Einzelausgaben;18.10;Deutsche Literatur
GF 7291;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7292;Übersetzungen;18.10;Deutsche Literatur
GF 7292;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7293;Sekundärliteratur;18.10;Deutsche Literatur
GF 7297;Gesamtausgaben;18.10;Deutsche Literatur
GF 7297;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7298;Einzelausgaben;18.10;Deutsche Literatur
GF 7298;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7299;Übersetzungen;18.10;Deutsche Literatur
GF 7299;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7300;Sekundärliteratur;18.10;Deutsche Literatur
GF 7302;Gesamtausgaben;18.10;Deutsche Literatur
GF 7302;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7303;Einzelausgaben;18.10;Deutsche Literatur
GF 7303;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7304;Übersetzungen;18.10;Deutsche Literatur
GF 7304;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7305;Sekundärliteratur;18.10;Deutsche Literatur
GF 7310;Gesamtausgaben;18.10;Deutsche Literatur
GF 7310;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7311;Einzelausgaben;18.10;Deutsche Literatur
GF 7311;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7312;Übersetzungen;18.10;Deutsche Literatur
GF 7312;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7313;Sekundärliteratur;18.10;Deutsche Literatur
GF 7320;Gesamtausgaben;18.10;Deutsche Literatur
GF 7320;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7321;Einzelausgaben;18.10;Deutsche Literatur
GF 7321;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7322;Übersetzungen;18.10;Deutsche Literatur
GF 7322;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7323;Sekundärliteratur;18.10;Deutsche Literatur
GF 7330;Gesamtausgaben;18.10;Deutsche Literatur
GF 7330;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7331;Einzelausgaben;18.10;Deutsche Literatur
GF 7331;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7332;Übersetzungen;18.10;Deutsche Literatur
GF 7332;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7333;Sekundärliteratur;18.10;Deutsche Literatur
GF 7335;Gesamtausgaben;18.10;Deutsche Literatur
GF 7335;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7336;Einzelausgaben;18.10;Deutsche Literatur
GF 7336;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7337;Übersetzungen;18.10;Deutsche Literatur
GF 7337;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7338;Sekundärliteratur;18.10;Deutsche Literatur
GF 7340;Gesamtausgaben;18.10;Deutsche Literatur
GF 7340;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7341;Einzelausgaben;18.10;Deutsche Literatur
GF 7341;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7342;Übersetzungen;18.10;Deutsche Literatur
GF 7342;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7343;Sekundärliteratur;18.10;Deutsche Literatur
GF 7344;Gesamtausgaben;18.10;Deutsche Literatur
GF 7344;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7345;Einzelausgaben;18.10;Deutsche Literatur
GF 7345;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7346;Übersetzungen;18.10;Deutsche Literatur
GF 7346;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7347;Sekundärliteratur;18.10;Deutsche Literatur
GF 7352;Gesamtausgaben;18.10;Deutsche Literatur
GF 7352;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7353;Einzelausgaben;18.10;Deutsche Literatur
GF 7353;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7354;Übersetzungen;18.10;Deutsche Literatur
GF 7354;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7355;Sekundärliteratur;18.10;Deutsche Literatur
GF 7470 ;Gesamtausgaben;18.10;Deutsche Literatur
GF 7470 ;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7471;Einzelausgaben;18.10;Deutsche Literatur
GF 7471;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7472;Übersetzungen;18.10;Deutsche Literatur
GF 7472;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7473;Sekundärliteratur;18.10;Deutsche Literatur
GF 7498;Gesamtausgaben;18.10;Deutsche Literatur
GF 7498;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7499;Einzelausgaben;18.10;Deutsche Literatur
GF 7499;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7500;Übersetzungen;18.10;Deutsche Literatur
GF 7500;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7501;Sekundärliteratur;18.10;Deutsche Literatur
GF 7502;Gesamtausgaben;18.10;Deutsche Literatur
GF 7502;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7503;Einzelausgaben;18.10;Deutsche Literatur
GF 7503;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7504;Übersetzungen;18.10;Deutsche Literatur
GF 7504;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7505;Sekundärliteratur;18.10;Deutsche Literatur
GF 7515;Gesamtausgaben;18.10;Deutsche Literatur
GF 7515;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7516;Einzelausgaben;18.10;Deutsche Literatur
GF 7516;Einzelausgaben;17.97;Texte eines einzelnen Autors
GF 7517;Übersetzungen;18.10;Deutsche Literatur
GF 7517;Übersetzungen;17.97;Texte eines einzelnen Autors
GF 7518;Sekundärliteratur;18.10;Deutsche Literatur
GF 7524;Gesamtausgaben;18.10;Deutsche Literatur
GF 7524;Gesamtausgaben;17.97;Texte eines einzelnen Autors
GF 7525;Einzelausgaben;18.10;Deutsche Literatur
GF 7525;Einzelausgaben;17.97;Texte eines einzelnen Autors
